"timesstamp,brightness,motion_pixels,mode,fps"
2026-01-10 06: 25: 26,121.86,2124,DAY,7.62
2026-01-10 06: 25: 26,121.97,1901,DAY,10.68
2026-01-10 06: 25: 26,121.97,1564,DAY,13.69
2026-01-10 06: 25: 26,121.97,0,DAY,11.04
2026-01-10 06: 25: 26,122.33,2132,DAY,11.54
2026-01-10 06: 25: 26,122.52,1203,DAY,12.56
2026-01-10 06: 25: 26,122.52,0,DAY,9.84
2026-01-10 06: 25: 27,125.77,1343,DAY,11.29
2026-01-10 06: 25: 27,125.77,0,DAY,8.96
2026-01-10 06: 25: 27,126.0,1505,DAY,7.52
2026-01-10 06: 25: 27,126.37,2715,DAY,7.66
2026-01-10 06: 25: 27,126.6,1646,DAY,9.56
2026-01-10 06: 25: 27,126.65,1605,DAY,12.65
2026-01-10 06: 25: 30,127.08,2975,DAY,0.34
2026-01-10 06: 25: 30,129.06,1054,DAY,4.21
2026-01-10 06: 25: 31,132.12,3124,DAY,3.83
2026-01-10 06: 25: 31,132.17,2077,DAY,3.77
2026-01-10 06: 25: 31,133.57,1750,DAY,10.65
2026-01-10 06: 25: 31,133.43,0,DAY,8.46
2026-01-10 06: 25: 31,133.6,0,DAY,6.04
2026-01-10 06: 25: 31,133.55,0,DAY,10.03
2026-01-10 06: 25: 31,133.55,0,DAY,10.92
2026-01-10 06: 25: 32,133.58,0,DAY,10.35
2026-01-10 06: 25: 32,133.6,0,DAY,13.96
2026-01-10 06: 25: 32,133.63,0,DAY,8.15
2026-01-10 06: 25: 32,133.6,0,DAY,11.16
2026-01-10 06: 25: 32,133.6,0,DAY,7.77
2026-01-10 06: 25: 32,133.6,0,DAY,9.84
2026-01-10 06: 25: 32,133.58,0,DAY,9.94
2026-01-10 06: 25: 33,133.59,0,DAY,2.19
2026-01-10 06: 25: 33,133.8,21,DAY,6.34
2026-01-10 06: 25: 33,132.59,1132,DAY,7.39
2026-01-10 06: 25: 33,132.63,0,DAY,12.2
2026-01-10 06: 25: 33,132.63,0,DAY,11.49
2026-01-10 06: 25: 33,132.68,0,DAY,6.98
2026-01-10 06: 25: 33,132.77,0,DAY,4.13
2026-01-10 06: 25: 34,133.13,1666,DAY,9.44
2026-01-10 06: 25: 35,133.23,0,DAY,0.63
2026-01-10 06: 25: 37,133.46,277,DAY,0.43
2026-01-10 06: 25: 38,133.35,6620,DAY,1.15
2026-01-10 06: 25: 39,132.61,3804,DAY,0.85
2026-01-10 06: 25: 41,132.57,7021,DAY,0.99
2026-01-10 06: 25: 41,133.52,2546,DAY,1.05
2026-01-10 06: 25: 43,133.93,2336,DAY,0.57
2026-01-10 06: 25: 44,134.22,4947,DAY,1.62
2026-01-10 06: 25: 44,134.1,4755,DAY,8.58
2026-01-10 06: 25: 45,134.41,2,DAY,1.5
2026-01-10 06: 25: 45,136.05,0,DAY,3.2
2026-01-10 06: 25: 45,136.1,135,DAY,2.97
2026-01-10 06: 25: 45,136.59,3058,DAY,8.64
2026-01-10 06: 25: 45,137.17,2845,DAY,10.57
2026-01-10 06: 25: 46,137.35,3228,DAY,12.41
2026-01-10 06: 25: 46,137.47,2859,DAY,13.97
2026-01-10 06: 25: 46,137.77,4067,DAY,10.68
2026-01-10 06: 25: 46,137.77,0,DAY,9.84
2026-01-10 06: 25: 46,138.15,3400,DAY,11.68
2026-01-10 06: 25: 46,138.55,1305,DAY,8.72
2026-01-10 06: 25: 46,139.15,2762,DAY,12.25
2026-01-10 06: 25: 46,139.53,2492,DAY,11.68
2026-01-10 06: 25: 46,139.85,1013,DAY,9.38
2026-01-10 06: 25: 46,140.09,233,DAY,9.94
2026-01-10 06: 25: 46,140.18,100,DAY,13.51
2026-01-10 06: 25: 47,140.44,307,DAY,10.57
2026-01-10 06: 25: 47,140.81,771,DAY,11.68
2026-01-10 06: 25: 47,141.13,461,DAY,9.12
2026-01-10 06: 25: 47,141.6,215,DAY,11.82
2026-01-10 06: 25: 47,142.12,599,DAY,13.18
2026-01-10 06: 25: 47,142.12,0,DAY,11.82
2026-01-10 06: 25: 47,142.41,1113,DAY,8.57
2026-01-10 06: 25: 47,142.57,1228,DAY,12.25
2026-01-10 06: 25: 47,142.5,448,DAY,13.33
2026-01-10 06: 25: 47,142.46,0,DAY,10.57
2026-01-10 06: 25: 47,142.5,0,DAY,11.82
2026-01-10 06: 25: 48,142.56,27,DAY,13.58
2026-01-10 06: 25: 48,142.75,0,DAY,9.12
2026-01-10 06: 25: 48,142.78,51,DAY,13.96
2026-01-10 06: 25: 48,142.78,0,DAY,6.87
2026-01-10 06: 25: 48,142.5,745,DAY,8.57
2026-01-10 06: 25: 48,142.44,615,DAY,9.47
2026-01-10 06: 25: 48,142.48,115,DAY,8.91
2026-01-10 06: 25: 48,142.55,0,DAY,9.21
2026-01-10 06: 25: 48,142.56,0,DAY,10.25
2026-01-10 06: 25: 48,142.6,0,DAY,11.36
2026-01-10 06: 25: 49,142.61,0,DAY,8.32
2026-01-10 06: 25: 49,142.57,0,DAY,11.34
2026-01-10 06: 25: 51,142.48,53,DAY,0.55
2026-01-10 06: 25: 51,140.52,4639,DAY,1.03
2026-01-10 06: 25: 52,143.06,3694,DAY,11.29
2026-01-10 06: 25: 52,143.4,125,DAY,12.11
2026-01-10 06: 25: 52,143.4,0,DAY,12.4
2026-01-10 06: 25: 52,143.5,591,DAY,11.96
2026-01-10 06: 25: 52,143.5,0,DAY,12.25
2026-01-10 06: 25: 52,143.35,44,DAY,7.96
2026-01-10 06: 25: 52,143.03,187,DAY,11.54
2026-01-10 06: 25: 52,142.72,59,DAY,11.16
2026-01-10 06: 25: 52,142.33,340,DAY,13.51
2026-01-10 06: 25: 52,141.95,152,DAY,8.12
2026-01-10 06: 25: 52,142.01,8,DAY,14.29
2026-01-10 06: 25: 53,141.88,28,DAY,12.88
2026-01-10 06: 25: 53,141.95,12,DAY,13.77
2026-01-10 06: 25: 53,141.95,0,DAY,7.27
2026-01-10 06: 25: 53,141.87,1125,DAY,12.88
2026-01-10 06: 25: 53,141.94,0,DAY,8.21
2026-01-10 06: 25: 53,141.91,5,DAY,12.4
2026-01-10 06: 25: 53,141.91,0,DAY,13.22
2026-01-10 06: 25: 53,141.9,0,DAY,7.27
2026-01-10 06: 25: 53,141.94,0,DAY,12.89
2026-01-10 06: 25: 53,141.94,0,DAY,12.88
2026-01-10 06: 25: 54,141.96,0,DAY,8.73
2026-01-10 06: 25: 54,142.04,0,DAY,12.55
2026-01-10 06: 25: 54,142.07,0,DAY,5.1
2026-01-10 06: 25: 54,142.18,542,DAY,7.66
2026-01-10 06: 25: 54,142.24,0,DAY,6.87
2026-01-10 06: 25: 56,142.2,2,DAY,0.46
2026-01-10 06: 25: 58,140.92,2966,DAY,0.69
2026-01-10 06: 25: 59,141.39,2920,DAY,0.6
2026-01-10 06: 26: 01,141.75,3960,DAY,0.7
2026-01-10 06: 26: 01,142.18,1925,DAY,1.78
2026-01-10 06: 26: 03,142.0,1327,DAY,0.48
2026-01-10 06: 26: 04,142.31,3465,DAY,1.74
2026-01-10 06: 26: 05,142.11,1256,DAY,1.17
2026-01-10 06: 26: 06,142.67,3593,DAY,1.25
2026-01-10 06: 26: 06,142.64,166,DAY,10.14
2026-01-10 06: 26: 06,142.52,0,DAY,1.58
2026-01-10 06: 26: 07,142.58,0,DAY,4.46
2026-01-10 06: 26: 07,144.28,1372,DAY,7.86
2026-01-10 06: 26: 07,144.34,0,DAY,8.57
2026-01-10 06: 26: 07,144.33,4,DAY,12.5
2026-01-10 06: 26: 07,144.31,0,DAY,9.38
2026-01-10 06: 26: 07,144.21,0,DAY,11.68
2026-01-10 06: 26: 07,144.14,1,DAY,13.16
2026-01-10 06: 26: 07,144.04,19,DAY,10.68
2026-01-10 06: 26: 07,144.04,0,DAY,9.29
2026-01-10 06: 26: 08,143.99,820,DAY,7.98
2026-01-10 06: 26: 08,144.0,0,DAY,11.49
2026-01-10 06: 26: 08,144.01,0,DAY,11.97
2026-01-10 06: 26: 08,144.12,0,DAY,10.14
2026-01-10 06: 26: 08,144.2,0,DAY,8.29
2026-01-10 06: 26: 08,144.22,0,DAY,13.06
2026-01-10 06: 26: 08,144.23,0,DAY,11.68
2026-01-10 06: 26: 08,144.19,0,DAY,12.72
2026-01-10 06: 26: 08,144.19,0,DAY,10.24
2026-01-10 06: 26: 08,144.13,0,DAY,7.54
2026-01-10 06: 26: 08,144.05,0,DAY,11.82
2026-01-10 06: 26: 09,144.05,0,DAY,12.25
